ID,TYPE_NAME,PURITY,CATEGORY,BRAND
1083,Vàng trang sức 98,Unknown,jewelry,Phú Quý
1087,Nữ trang,68,jewelry,SJC
545,"Vàng nhẫn SJC 1 chỉ, 2 chỉ, 5 chỉ",99.99%,Ring,SJC
557,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",99.99%,Gold Bar,SJC
850,"Vàng nhẫn SJC 1 chỉ, 2 chỉ, 5 chỉ",99.99%,Ring,SJC
856,Nữ trang,99.99%,Jewelry,SJC
859,Vàng trang sức 98,99.99%,Jewelry,Phú Quý
1067,"Vàng nhẫn SJC 1 chỉ, 2 chỉ, 5 chỉ",99.99,ring,SJC
1061,Vàng SJC 5 chỉ,Unknown,Gold Bar,SJC
1062,Nữ trang,61,jewelry,SJC
1070,QUÀ MỪNG BẢN VỊ VÀNG BẢO TÍN MINH CHÂU,Unknown,other,BTMC
1076,Nhẫn tròn Phú Quý,99.99,ring,Phú Quý
1082,VÀNG MIẾNG VRTL BẢO TÍN MINH CHÂU,Unknown,Gold Bar,BTMC
1088,Nữ trang,41.7,jewelry,SJC
542,VÀNG MIẾNG SJC,99.99%,Gold Bar,BTMC
547,Vàng trang sức 99,99.99%,Jewelry,Phú Quý
549,TRANG SỨC VÀNG RỒNG THĂNG LONG 99.9,99.99%,Jewelry,BTMC
554,Phú quý 1 lượng 99.9,99.99%,Gold Bar,Phú Quý
555,Vàng phi SJC,99.99%,Gold Bar,Phú Quý
561,Thần tài Phú Quý,99.99%,Gift,Phú Quý
563,NHẪN TRÒN TRƠN BẢO TÍN MINH CHÂU,99.99%,Ring,BTMC
569,Nữ trang,99.00%,Jewelry,SJC
761,"Vàng SJC 1L, 10L, 1KG",99.99%,Gold Bar,SJC
801,Vàng 610 (14.6K),61.00%,Gold Bar,Phú Quý
821,Vàng nữ trang 999,99.90%,Jewelry,BTMC
845,Nữ trang,58.30%,Jewelry,SJC
846,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99%,Jewelry,BTMC
851,QUÀ MỪNG BẢN VỊ VÀNG BẢO TÍN MINH CHÂU,99.99%,Gold Bar,BTMC
852,TRANG SỨC VÀNG RỒNG THĂNG LONG 99.9,99.99%,Jewelry,BTMC
858,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",99.99%,Gold Bar,SJC
860,Vàng miếng SJC,99.99%,Gold Bar,Phú Quý
862,- BÁN LẺ DOJI,99.99%,Gold Bar,DOJI
868,Nữ trang,41.70%,Jewelry,SJC
1064,"Vàng SJC 1L, 10L, 1KG",Unknown,Gold Bar,SJC
1068,Vàng trang sức,99.99,jewelry,Phú Quý
1077,Phú quý 1 lượng 99.9,Unknown,other,Phú Quý
1078,Vàng phi SJC,999.0,other,Phú Quý
1084,Nữ trang,99.99,jewelry,SJC
1089,Vàng phi SJC,99.99,other,Phú Quý
544,"Vàng nhẫn SJC 0.5 chỉ, 0.3 chỉ",99.99%,Ring,SJC
550,Nữ trang,61.00%,Jewelry,SJC
551,Vàng SJC 5 chỉ,99.99%,Gold Bar,SJC
556,Nhẫn tròn Phú Quý,99.99%,Ring,Phú Quý
562,Nữ trang,99.99%,Jewelry,SJC
564,- BÁN LẺ DOJI,99.99%,Gold Bar,DOJI
567,Vàng phi SJC,99.99%,Gold Bar,Phú Quý
842,Vàng SJC 5 chỉ,99.99%,Gold Bar,SJC
848,"Vàng nhẫn SJC 0.5 chỉ, 0.3 chỉ",99.99%,Ring,SJC
854,Nữ trang,75.00%,Jewelry,SJC
865,VÀNG MIẾNG VRTL BẢO TÍN MINH CHÂU,99.99%,Gold Bar,BTMC
867,Nữ trang,68.00%,Jewelry,SJC
1065,Vàng trang sức 99,Unknown,jewelry,Phú Quý
1069,VÀNG MIẾNG SJC,Unknown,Gold Bar,BTMC
1080,Vàng trang sức 999,Unknown,jewelry,Phú Quý
1085,NHẪN TRÒN TRƠN BẢO TÍN MINH CHÂU,Unknown,ring,BTMC
